wavelength_(um),star_planet_signal_(erg/s/cm2),noise_(erg/s/cm2),stellar_signal_(erg/s/cm2),planet_signal_(erg/s/cm2)
0.2,1.1638e-22,3.00312e-18,1.16379e-22,1.24263e-27
0.2001052632,1.09567e-22,2.99853e-18,1.09566e-22,9.89259e-28
0.2002105817,1.8628e-22,2.99395e-18,1.86279e-22,1.39499e-27
0.2003159557,1.31635e-22,2.98938e-18,1.31635e-22,7.27702e-28
0.2004213852,1.15728e-22,2.98482e-18,1.15728e-22,1.80892e-28
0.2005268701,1.70303e-22,2.98027e-18,1.70303e-22,1.69347e-28
0.2006324106,1.2358e-22,2.97573e-18,1.23579e-22,1.3468e-28
0.2007380066,1.0008e-22,2.97119e-18,1.0008e-22,9.51327e-29
0.2008436581,1.39448e-22,2.96667e-18,1.39447e-22,1.11256e-28
0.2009493653,1.32674e-22,2.96215e-18,1.32674e-22,1.09777e-28
0.2010551282,1.53657e-22,2.95764e-18,1.53657e-22,1.41022e-28
0.2011609466,1.02769e-22,2.95313e-18,1.02768e-22,1.51018e-28
0.2012668208,1.83066e-22,2.94864e-18,1.83065e-22,2.63045e-28
0.2013727507,1.28553e-22,2.94415e-18,1.28553e-22,2.64646e-28
0.2014787364,1.53659e-22,2.93968e-18,1.53658e-22,3.69806e-28
0.2015847778,1.63937e-22,2.93521e-18,1.63936e-22,5.21091e-28
0.2016908751,1.6648e-22,2.93075e-18,1.6648e-22,6.00114e-28
0.2017970282,1.27853e-22,2.92629e-18,1.27852e-22,4.38336e-28
0.2019032371,1.70607e-22,2.92185e-18,1.70606e-22,4.48259e-28
0.202009502,1.64087e-22,2.91741e-18,1.64086e-22,4.48472e-28
0.2021158228,1.32168e-22,2.91298e-18,1.32168e-22,2.51864e-28
0.2022221995,1.09393e-22,2.90856e-18,1.09393e-22,1.99205e-28
0.2023286323,1.15024e-22,2.90415e-18,1.15023e-22,3.50443e-28
0.202435121,1.39708e-22,2.89974e-18,1.39707e-22,5.44677e-28
0.2025416658,1.3181e-22,2.89535e-18,1.31809e-22,6.29026e-28
0.2026482667,5.79159e-23,2.89096e-18,5.79154e-23,4.91232e-28
0.2027549237,1.47353e-22,2.88658e-18,1.47352e-22,8.88792e-28
0.2028616368,1.29757e-22,2.8822e-18,1.29756e-22,1.02143e-27
0.2029684061,1.24984e-22,2.87784e-18,1.24982e-22,1.18492e-27
0.2030752316,1.65644e-22,2.87348e-18,1.65643e-22,1.8437e-27
0.2031821133,2.00672e-22,2.86913e-18,2.0067e-22,2.44627e-27
0.2032890512,1.93809e-22,2.86479e-18,1.93806e-22,2.62236e-27
0.2033960455,1.25217e-22,2.86046e-18,1.25216e-22,1.39916e-27
0.203503096,1.71243e-22,2.85613e-18,1.71243e-22,4.79348e-28
0.2036102029,1.9958e-22,2.85182e-18,1.99579e-22,3.58275e-28
0.2037173662,1.8529e-22,2.84751e-18,1.85289e-22,5.29084e-28
0.2038245858,1.75928e-22,2.8432e-18,1.75927e-22,6.03279e-28
0.2039318619,1.38355e-22,2.83891e-18,1.38355e-22,6.62186e-28
0.2040391945,1.72092e-22,2.83462e-18,1.72091e-22,7.98038e-28
0.2041465835,1.63288e-22,2.83035e-18,1.63287e-22,8.67366e-28
0.2042540291,2.19367e-22,2.82608e-18,2.19366e-22,9.82971e-28
0.2043615312,1.88176e-22,2.82181e-18,1.88176e-22,6.85876e-28
0.2044690899,2.01866e-22,2.81756e-18,2.01865e-22,5.15015e-28
0.2045767052,2.13068e-22,2.81331e-18,2.13067e-22,4.89945e-28
0.2046843772,2.45027e-22,2.80907e-18,2.45026e-22,5.3716e-28
0.2047921058,2.19036e-22,2.80484e-18,2.19035e-22,4.9226e-28
0.2048998911,1.91468e-22,2.80061e-18,1.91468e-22,3.62443e-28
0.2050077332,1.81129e-22,2.79639e-18,1.81129e-22,2.42402e-28
0.205115632,1.88245e-22,2.79218e-18,1.88244e-22,2.39e-28
0.2052235876,2.18066e-22,2.78798e-18,2.18066e-22,2.48573e-28
0.2053316,2.00133e-22,2.78379e-18,2.00133e-22,2.90412e-28
0.2054396693,2.16917e-22,2.7796e-18,2.16916e-22,5.08433e-28
0.2055477954,1.98954e-22,2.77542e-18,1.98953e-22,6.94853e-28
0.2056559784,1.80996e-22,2.77125e-18,1.80995e-22,8.62091e-28
0.2057642184,2.25391e-22,2.76709e-18,2.25389e-22,1.30085e-27
0.2058725154,1.91014e-22,2.76293e-18,1.91013e-22,1.41111e-27
0.2059808694,2.44828e-22,2.75878e-18,2.44827e-22,1.82593e-27
0.2060892803,2.04052e-22,2.75464e-18,2.0405e-22,1.99305e-27
0.2061977484,1.80673e-22,2.7505e-18,1.80671e-22,2.16004e-27
0.2063062735,1.88773e-22,2.74637e-18,1.88771e-22,2.55133e-27
0.2064148558,2.22921e-22,2.74226e-18,2.22917e-22,3.32822e-27
0.2065234952,2.28497e-22,2.73814e-18,2.28495e-22,2.80897e-27
0.2066321917,1.6653e-22,2.73404e-18,1.66529e-22,8.22853e-28
0.2067409455,2.29801e-22,2.72994e-18,2.298e-22,5.22055e-28
0.2068497565,2.08783e-22,2.72585e-18,2.08783e-22,5.38506e-28
0.2069586248,2.08201e-22,2.72177e-18,2.082e-22,8.19234e-28
0.2070675504,2.537e-22,2.71769e-18,2.53699e-22,1.21076e-27
0.2071765333,2.90512e-22,2.71362e-18,2.9051e-22,1.70443e-27
0.2072855736,2.50901e-22,2.70956e-18,2.50899e-22,1.90231e-27
0.2073946713,2.62489e-22,2.70551e-18,2.62486e-22,2.31905e-27
0.2075038264,2.50954e-22,2.70146e-18,2.50952e-22,2.7821e-27
0.2076130389,2.82824e-22,2.69742e-18,2.8282e-22,3.59186e-27
0.2077223089,2.98323e-22,2.69339e-18,2.98319e-22,4.33695e-27
0.2078316365,2.58896e-22,2.68936e-18,2.58892e-22,4.1878e-27
0.2079410216,3.32409e-22,2.68535e-18,3.32405e-22,4.79391e-27
0.2080504642,3.07914e-22,2.68134e-18,3.07909e-22,4.56197e-27
0.2081599644,2.76345e-22,2.67733e-18,2.76342e-22,2.59164e-27
0.2082695223,3.28363e-22,2.67334e-18,3.28362e-22,7.52204e-28
0.2083791379,3.02958e-22,2.66935e-18,3.02957e-22,3.77161e-28
0.2084888111,2.04662e-22,2.66536e-18,2.04662e-22,4.50803e-28
0.208598542,2.8148e-22,2.66139e-18,2.8148e-22,5.76816e-28
0.2087083307,3.73696e-22,2.65742e-18,3.73695e-22,6.85332e-28
0.2088181772,2.87293e-22,2.65346e-18,2.87293e-22,7.24435e-28
0.2089280815,2.96073e-22,2.6495e-18,2.96072e-22,1.00162e-27
0.2090380437,3.73117e-22,2.64556e-18,3.73116e-22,1.56882e-27
0.2091480637,3.07771e-22,2.64162e-18,3.07769e-22,1.77412e-27
0.2092581416,3.0963e-22,2.63768e-18,3.09628e-22,2.38191e-27
0.2093682775,4.82171e-22,2.63376e-18,4.82168e-22,3.91032e-27
0.2094784713,3.14932e-22,2.62984e-18,3.14928e-22,3.8417e-27
0.2095887232,3.83157e-22,2.62593e-18,3.83152e-22,5.67429e-27
0.209699033,4.22526e-22,2.62202e-18,4.22517e-22,8.31985e-27
0.2098094009,8.51401e-22,2.61813e-18,8.51389e-22,1.18249e-26
0.2099198269,6.14195e-22,2.61424e-18,6.14191e-22,3.84972e-27
0.210030311,4.46182e-22,2.61035e-18,4.4618e-22,2.50341e-27
0.2101408533,5.48289e-22,2.60647e-18,5.48286e-22,2.50865e-27
0.2102514538,1.77534e-21,2.60263e-18,1.77533e-21,5.26184e-27
0.2103621124,4.13341e-22,2.59873e-18,4.13338e-22,3.23106e-27
0.2104728293,1.16318e-21,2.59489e-18,1.16317e-21,7.91506e-27
0.2105836045,1.55584e-21,2.59105e-18,1.55583e-21,1.12959e-26
0.210694438,5.29215e-22,2.58719e-18,5.29208e-22,7.24821e-27
0.2108053298,1.08713e-21,2.58336e-18,1.08711e-21,1.12419e-26
0.21091628,2.52446e-22,2.57951e-18,2.52439e-22,6.86958e-27
0.2110272885,8.9252e-22,2.5757e-18,8.92505e-22,1.4521e-26
0.2111383555,1.02483e-21,2.57189e-18,1.0248e-21,2.49492e-26
0.211249481,2.08823e-21,2.5681e-18,2.08818e-21,4.71758e-26
0.2113606649,8.25208e-22,2.56427e-18,8.25181e-22,2.73687e-26
0.2114719074,9.29681e-22,2.56048e-18,9.29658e-22,2.26408e-26
0.2115832084,6.50538e-22,2.55668e-18,6.50528e-22,9.70011e-27
0.2116945679,1.60586e-21,2.55292e-18,1.60586e-21,6.78709e-27
0.2118059861,1.94263e-21,2.54915e-18,1.94262e-21,7.664e-27
0.211917463,6.7636e-22,2.54535e-18,6.76355e-22,5.22295e-27
0.2120289985,1.93202e-21,2.54162e-18,1.93201e-21,1.0483e-26
