molecule,Baseline_R2,DeepModel_R2,Delta_R2
CO2,0.8818904161453247,0.9992080330848694,0.11731761693954468
O2,0.7359868884086609,0.9962427616119385,0.2602558732032776
O3,0.7342172265052795,0.9963743686676025,0.262157142162323
CH4,0.9230452179908752,0.9999146461486816,0.0768694281578064
N2,0.706312358379364,0.9944451451301575,0.28813278675079346
N2O,0.7740175724029541,0.9977484941482544,0.2237309217453003
CO,0.9374978542327881,0.9998940229415894,0.06239616870880127
H2,0.7281008958816528,0.9935191869735718,0.26541829109191895
H2S,0.9319050908088684,0.9998281598091125,0.06792306900024414
SO2,0.8919880390167236,0.9994763731956482,0.10748833417892456
MEAN,0.8244961559772491,0.9976651191711425,0.17316896319389344
